pay_stay_zone,street,between_street_1,between_street_2,street_segment_id
30001820,CITY ROAD,KINGS WAY,CLARKE STREET,22040
30001821,CITY ROAD,KINGS WAY,CLARKE STREET,22040
30001822,CITY ROAD,SOUTHBANK BOULEVARD,SOUTHGATE AVENUE,22063
30001823,CITY ROAD,STURT STREET,SOUTHGATE AVENUE,22066
30001824,CITY ROAD,STURT STREET,SOUTHGATE AVENUE,22066
30001825,CLARKE STREET,CITY ROAD,HAIG STREET,22019
30001826,COVENTRY STREET,DODDS STREET,WELLS STREET,22112
30001827,COVENTRY STREET,ST KILDA ROAD,WELLS STREET,22103
30001828,COVENTRY STREET,ST KILDA ROAD,WELLS STREET,22103
30001829,COVENTRY STREET,ST KILDA ROAD,WELLS STREET,22103
30001830,COVENTRY STREET,ST KILDA ROAD,WELLS STREET,22103
30001831,COVENTRY STREET,STURT STREET,DODDS STREET,22117
30001832,COVENTRY STREET,WELLS STREET,DODDS STREET,22112
30001833,COVENTRY STREET,WELLS STREET,DODDS STREET,22112
30001834,DODDS STREET,COVENTRY STREET,DORCAS STREET,22113
30001835,DODDS STREET,COVENTRY STREET,MILES STREET,22110
30001836,DODDS STREET,MILES STREET,GRANT STREET,22462
30001837,DODDS STREET,GRANT STREET,MILES STREET,22462
30001838,DODDS STREET,MILES STREET,GRANT STREET,22462
30001839,DODDS STREET,SOUTHBANK BOULEVARD,GRANT STREET,22081
30001840,DODDS STREET,SOUTHBANK BOULEVARD,GRANT STREET,22081
30001841,DORCAS STREET,DODDS STREET,WELLS STREET,22096
30001842,DORCAS STREET,KINGS WAY,DODDS STREET,22460
30001843,DORCAS STREET,ST KILDA ROAD,WELLS STREET,22094
30001844,DORCAS STREET,ST KILDA ROAD,WELLS STREET,22094
30001845,DORCAS STREET,ST KILDA ROAD,WELLS STREET,22094
30001846,GRANT STREET,ST KILDA ROAD,WELLS STREET,22082
30001847,GRANT STREET,DODDS STREET,STURT STREET,22826
30001848,HAIG STREET,CLARENDON STREET,WEST GATE FREEWAY,22010
30001849,HAIG STREET,CLARENDON STREET,WEST GATE FREEWAY,22010
30001850,HAIG STREET,CLARENDON STREET,CLARKE STREET,22018
30001851,KAVANAGH STREET,BALSTON STREET,POWER STREET,22051
30001852,KAVANAGH STREET,BALSTON STREET,KINGS WAY,22045
30001853,KAVANAGH STREET,KINGS WAY,BALSTON STREET,22045
30001854,KAVANAGH STREET,POWER STREET,SOUTHBANK BOULEVARD,22077
30001855,KAVANAGH STREET,STURT STREET,SOUTHBANK BOULEVARD,22070
30001856,KAVANAGH STREET,STURT STREET,SOUTHBANK BOULEVARD,22070
30001857,MILES STREET,DODDS STREET,STURT STREET,22108
30001858,MILES STREET,STURT STREET,MOORE STREET,22120
30001859,MILES STREET,STURT STREET,MOORE STREET,22120
30001860,MILES STREET,STURT STREET,DODDS STREET,22108
30001861,MILES STREET,WELLS STREET,DODDS STREET,22107
30001862,MILES STREET,WELLS STREET,DODDS STREET,22107
30001863,MOORE STREET,MILES STREET,KINGS WAY,22461
30001864,MOORE STREET,SOUTHERN LINK ROAD,SOUTHBANK BOULEVARD,22078
30001865,MOORE STREET,SOUTHERN LINK ROAD,SOUTHBANK BOULEVARD,22078
30001866,MOORE STREET,KINGS WAY,MILES STREET,22461
30001867,MOORE STREET,SOUTHBANK BOULEVARD,SOUTHERN LINK ROAD,22078
30001868,MOORE STREET,SOUTHBANK BOULEVARD,SOUTHERN LINK ROAD,22078
30001869,MORAY STREET,WEST GATE FREEWAY,HANCOCK STREET,22036
30001870,QUEENS BRIDGE STREET,QUEENS BRIDGE,POWER STREET,22184
30001871,QUEENS BRIDGE STREET,KINGS WAY,POWER STREET,22182
30001872,QUEENS BRIDGE STREET,KINGS WAY,POWER STREET,22182
30001873,RIVERSIDE QUAY,COOK STREET,SOUTHBANK BOULEVARD,22059
30001874,SOUTHBANK BOULEVARD,KAVANAGH STREET,CITY ROAD,22073
30001875,SOUTHBANK BOULEVARD,KAVANAGH STREET,MOORE STREET,22075
30001876,SOUTHBANK BOULEVARD,MOORE STREET,KAVANAGH STREET,22075
30001877,SOUTHBANK BOULEVARD,STURT STREET,MOORE STREET,22079
30001878,SOUTHBANK BOULEVARD,DODDS STREET,ST KILDA ROAD,16505
30001879,LORIMER STREET,HARTLEY STREET,WEST GATE FREEWAY,22126
30001880,SOUTHGATE AVENUE,CITY ROAD,RIVERSIDE AVENUE,22187
30001881,ST KILDA ROAD,COVENTRY STREET,DORCAS STREET,22092
30001882,ST KILDA ROAD,GRANT STREET,WADEY STREET,22700
30001883,ST KILDA ROAD,ANZAC AVENUE,COVENTRY STREET,22704
30001884,ST KILDA ROAD,COVENTRY STREET,DORCAS STREET,22092
30001885,ST KILDA ROAD,GRANT STREET,WADEY STREET,22700
30001886,ST KILDA ROAD,SOUTHBANK BOULEVARD,GRANT STREET,22466
30001887,ST KILDA ROAD,WADEY STREET,COVENTRY STREET,16509
30001887,ST KILDA ROAD,ANZAC AVENUE,COVENTRY STREET,22704
30001887,ST KILDA ROAD,WADEY STREET,ANZAC AVENUE,22702
30001888,STURT STREET,GRANT STREET,MILES STREET,22767
30001889,STURT STREET,GRANT STREET,SOUTHBANK BOULEVARD,22121
30001890,STURT STREET,CITY ROAD,KAVANAGH STREET,22085
30001891,STURT STREET,KAVANAGH STREET,SOUTHBANK BOULEVARD,22086
30001892,STURT STREET,COVENTRY STREET,MILES STREET,22118
30001893,STURT STREET,MILES STREET,GRANT STREET,22767
30001894,STURT STREET,MILES STREET,SOUTHBANK BOULEVARD,16511
30001895,STURT STREET,MILES STREET,GRANT STREET,22767
30001896,STURT STREET,MILES STREET,COVENTRY STREET,22118
30001897,WADEY STREET,ST KILDA ROAD,WELLS STREET,22090
30001898,WELLS STREET,GRANT STREET,MILES STREET,22106
30001898,WELLS STREET,COVENTRY STREET,MILES STREET,22105
30001899,WELLS STREET,COVENTRY STREET,DORCAS STREET,22098
30001900,WELLS STREET,DORCAS STREET,COVENTRY STREET,22098
30001901,WELLS STREET,DORCAS STREET,COVENTRY STREET,22098
30001902,WELLS STREET,GRANT STREET,MILES STREET,22106
30001903,WELLS STREET,GRANT STREET,MILES STREET,22106
30001904,WELLS STREET,GRANT STREET,MILES STREET,22106
30001905,WHITEMAN STREET,WEST GATE FREEWAY,CLARENDON STREET,22008
30001906,WHITEMAN STREET,KINGS WAY,CLARENDON STREET,22177
30001907,WHITEMAN STREET,QUEENS BRIDGE STREET,KINGS WAY,22562
30001908,WHITEMAN STREET,WEST GATE FREEWAY,CLARENDON STREET,22008
30001909,ALEXANDRA AVENUE,WALSH STREET,ANDERSON STREET,22278
30001909,ALEXANDRA AVENUE,PUNT ROAD,WALSH STREET,22276
30001910,COMMERCIAL ROAD,PUNT ROAD,ST KILDA ROAD,22308
30001911,TOORAK ROAD,ADAMS STREET,ST KILDA ROAD,22209
30001912,TOORAK ROAD,PUNT ROAD,WALSH STREET,22221
30001913,ADDERLEY STREET,JEFFCOTT STREET,BATMAN STREET,21503
30001914,ADDERLEY STREET,LA TROBE STREET,JEFFCOTT STREET,21504
30001915,BATMAN STREET,KING STREET,SPENCER STREET,21516
30001916,ADDERLEY STREET,LA TROBE STREET,JEFFCOTT STREET,21504
30001917,BATMAN STREET,KING STREET,SPENCER STREET,21516
30001918,BATMAN STREET,KING STREET,SPENCER STREET,21516
30001919,BATMAN STREET,SPENCER STREET,ADDERLEY STREET,21494
30001920,BATMAN STREET,SPENCER STREET,ADDERLEY STREET,21494
30001921,BATMAN STREET,SPENCER STREET,ADDERLEY STREET,21494
30001922,CAPEL STREET,VICTORIA STREET,WILLIAM STREET,21392
30001923,CAPEL STREET,WILLIAM STREET,VICTORIA STREET,21392
30001924,CHETWYND STREET,STANLEY STREET,VICTORIA STREET,22661
30001925,DUDLEY STREET,ADDERLEY STREET,SPENCER STREET,21483
30001926,BATMAN STREET,KING STREET,SPENCER STREET,21516
30001927,DUDLEY STREET,KING STREET,SPENCER STREET,21413
30001928,DUDLEY STREET,KING STREET,SPENCER STREET,21413
30001930,DUDLEY STREET,SPENCER STREET,ADDERLEY STREET,21483
30001931,DUDLEY STREET,SPENCER STREET,KING STREET,21413
30001932,DUDLEY STREET,MILTON STREET,KING STREET,21411
30001934,JEFFCOTT STREET,KING STREET,SPENCER STREET,21514
30001935,JEFFCOTT STREET,SPENCER STREET,ADDERLEY STREET,21501
30001936,JEFFCOTT STREET,SPENCER STREET,ADDERLEY STREET,21501
30001937,JEFFCOTT STREET,SPENCER STREET,KING STREET,21514
30001938,JEFFCOTT STREET,SPENCER STREET,KING STREET,21514
30001939,KING STREET,BATMAN STREET,DUDLEY STREET,21518
30001940,KING STREET,JEFFCOTT STREET,LA TROBE STREET,21507
30001941,KING STREET,DUDLEY STREET ,ROSSLYN STREET,16006
30001942,KING STREET,JEFFCOTT STREET,BATMAN STREET,21515
30001943,KING STREET,JEFFCOTT STREET,LA TROBE STREET,21507
30001944,KING STREET,BATMAN STREET,DUDLEY STREET,21518
30001945,KING STREET,ROSSLYN STREET,STANLEY STREET,21427
30001946,KING STREET,STANLEY STREET,RODEN STREET,21375
30001947,LA TROBE STREET,KING STREET,SPENCER STREET,20030
30001948,LA TROBE STREET,KING STREET,WILLIAM STREET,20028
30001949,PEEL STREET,VICTORIA STREET,DUDLEY STREET,22659
30001950,RAILWAY PLACE,ABBOTSFORD STREET,ADDERLEY STREET,21549
30001954,ROSSLYN STREET,ADDERLEY STREET,RAILWAY PLACE,21490
30001956,ROSSLYN STREET,ADDERLEY STREET,RAILWAY PLACE,21490
30001957,ROSSLYN STREET,ADDERLEY STREET,RAILWAY PLACE,21490
30001958,ROSSLYN STREET,ADDERLEY STREET,SPENCER STREET,21479
30001959,ROSSLYN STREET,HOWARD STREET,KING STREET,21388
30001961,ROSSLYN STREET,WILLIAM STREET,HOWARD STREET,21387
30001962,ROSSLYN STREET,KING STREET,SPENCER STREET,21421
30001963,ROSSLYN STREET,HOWARD STREET,KING STREET,21388
30001964,ROSSLYN STREET,SPENCER STREET,ADDERLEY STREET,21479
30001965,ROSSLYN STREET,SPENCER STREET,ADDERLEY STREET,21479
30001966,HOWARD STREET,ROSSLYN STREET,WILLIAM STREET,21382
30001967,ROSSLYN STREET,WILLIAM STREET,HOWARD STREET,21387
30001968,SPENCER STREET,JEFFCOTT STREET,LA TROBE STREET,21506
30001969,SPENCER STREET,BATMAN STREET,JEFFCOTT STREET,21499
30001970,SPENCER STREET,LA TROBE STREET,JEFFCOTT STREET,21506
30001971,SPENCER STREET,JEFFCOTT STREET,BATMAN STREET,21499
30001971,SPENCER STREET,DUDLEY STREET,BATMAN STREET,21486
30001972,STANLEY STREET,KING STREET,SPENCER STREET,21429
30001973,STANLEY STREET,KING STREET,SPENCER STREET,21429
30001974,STANLEY STREET,KING STREET,SPENCER STREET,21429
30001975,STANLEY STREET,KING STREET,SPENCER STREET,21429
30001976,STANLEY STREET,SPENCER STREET,ADDERLEY STREET,21475
30001977,STANLEY STREET,SPENCER STREET,ADDERLEY STREET,21475
30001979,VICTORIA STREET,CAPEL STREET,HOWARD STREET,20951
30001980,VICTORIA STREET,CURZON STREET,ERROL STREET,20994
30001981,VICTORIA STREET OSCP,VICTORIA STREET,RODEN STREET,40023
30001982,VICTORIA STREET OSCP,VICTORIA STREET,RODEN STREET,40023
30001983,VICTORIA STREET,PEEL STREET,CAPEL STREET,20953
30001984,WALSH STREET,KING STREET,MILTON STREET,21405
30001985,WALSH STREET,MILTON STREET,KING STREET,21405
30001986,WILLIAM STREET,DUDLEY STREET,WALSH STREET,21404
30001987,WILLIAM STREET ,VICTORIA STREET,WALSH STREET,16018
30001988,WILLIAM STREET,VICTORIA STREET,ROSSLYN STREET,21384
30001990,WILLIAM STREET,A'BECKETT STREET,FRANKLIN STREET,21529
30001990,WILLIAM STREET,LA TROBE STREET,A'BECKETT STREET,21519
30001991,WILLIAM STREET,ROSSLYN STREET,CAPEL STREET,21385
30001992,WILLIAM STREET,ROSSLYN STREET,VICTORIA STREET,21384
30001993,WILLIAM STREET,FRANKLIN STREET,DUDLEY STREET,21530
30001994,LA TROBE STREET,SPENCER STREET,ADDERLEY STREET,21505
30001995,WILLIAM STREET,CAPEL STREET,ROSSLYN STREET,21385
30001996,WILLIAM STREET,CAPEL STREET,ROSSLYN STREET,21385
30002000,POPLAR ROAD OSCP,POPLAR ROAD,ELLIOTT AVENUE,40021
30002000,ELLIOTT AVENUE OSCP,ELLIOTT AVENUE,POPLAR ROAD,40022
30001674,RUSSELL STREET,LITTLE COLLINS STREET,COLLINS STREET,20148
30001543,LITTLE LONSDALE STREET,KING STREET,SPENCER STREET,20048
30001400,EXHIBITION STREET,LITTLE COLLINS STREET,COLLINS STREET,20140
30001388,ELIZABETH STREET,LITTLE LA TROBE STREET,A'BECKETT STREET,22651
30001594,QUEEN STREET,BOURKE STREET,LITTLE BOURKE STREET,20174
30001534,LITTLE COLLINS STREET,WILLIAM STREET,QUEEN STREET,20101
30001518,LITTLE BOURKE STREET,KING STREET,WILLIAM STREET,20061
30001349,LITTLE LONSDALE STREET,QUEEN STREET,WILLIAM STREET,20044
30001544,LITTLE LONSDALE STREET,QUEEN STREET,ELIZABETH STREET,20042
30001414,EXHIBITION STREET,LITTLE LONSDALE STREET,LA TROBE STREET,20145
30001001,ARGYLE PLACE NORTH,LYGON STREET,CARDIGAN STREET,20752
30001416,EXHIBITION STREET,LITTLE LONSDALE STREET,LONSDALE STREET,20144
30001531,LITTLE COLLINS STREET,SPENCER STREET,KING STREET,20105
30001525,LITTLE COLLINS STREET,ELIZABETH STREET,QUEEN STREET,20099
30001634,RUSSELL STREET,LITTLE BOURKE STREET,LONSDALE STREET,20151
30001637,RUSSELL STREET,LITTLE COLLINS STREET,BOURKE STREET,20149
30001532,LITTLE COLLINS STREET,WILLIAM STREET,KING STREET,20103
30001410,EXHIBITION STREET,LONSDALE STREET,LITTLE BOURKE STREET,20143
30001553,LITTLE LONSDALE STREET,WILLIAM STREET,QUEEN STREET,20044
30001640,RUSSELL STREET,LONSDALE STREET,LITTLE LONSDALE STREET,20152
30001274,SPRING STREET,LITTLE LONSDALE STREET,VICTORIA PARADE,21847
30001395,EXHIBITION STREET,BOURKE STREET,LITTLE BOURKE STREET,20142
30001415,EXHIBITION STREET,LONSDALE STREET,LITTLE LONSDALE STREET,20144
30001609,QUEEN STREET,LITTLE LONSDALE STREET,LA TROBE STREET,20177
30001540,LITTLE LONSDALE STREET,EXHIBITION STREET,RUSSELL STREET,20036
30001610,QUEEN STREET,LITTLE LONSDALE STREET,LA TROBE STREET,20177
30001673,SWANSTON STREET,LITTLE LA TROBE STREET,A'BECKETT STREET,22649
30001537,LITTLE LA TROBE STREET,SWANSTON STREET,ELIZABETH STREET,21644
30001276,SPRING STREET,COLLINS STREET,LITTLE COLLINS STREET,20200
30001273,SPRING STREET,LITTLE BOURKE STREET,LONSDALE STREET,20206
30001485,KING STREET,LITTLE COLLINS STREET,BOURKE STREET,20191
30001380,ELIZABETH STREET,BOURKE STREET,LITTLE COLLINS STREET,20165
30001536,LITTLE BOURKE STREET,KING STREET,WILLIAM STREET,20061
30001225,SPENCER STREET,LONSDALE STREET,LITTLE LONSDALE STREET,20077
30001481,KING STREET,LITTLE BOURKE STREET,LONSDALE STREET,20193
30001363,COLLINS STREET,KING STREET,SPENCER STREET,20120
30001516,LITTLE BOURKE STREET,EXHIBITION STREET,RUSSELL STREET,20051
30001626,RUSSELL STREET,LITTLE COLLINS STREET,BOURKE STREET,20149
30001692,WILLIAM STREET,COLLINS STREET,LITTLE COLLINS STREET,20182
30001627,RUSSELL STREET,COLLINS STREET,LITTLE COLLINS STREET,20148
30001350,CHURCH STREET,LITTLE COLLINS STREET,BOURKE STREET,20416
30001182,ADELA LANE,COLLINS STREET,COLLINS STREET,23342
30001413,EXHIBITION STREET,LITTLE COLLINS STREET,BOURKE STREET,20141
30001180,DOCKLANDS DRIVE,DOCKLANDS DRIVE,WATTLE ROAD,23256
30001515,LITTLE BOURKE STREET,ELIZABETH STREET,QUEEN STREET,20057
30001391,ELIZABETH STREET,LONSDALE STREET,LITTLE LONSDALE STREET,20168
30001484,KING STREET,LITTLE COLLINS STREET,BOURKE STREET,20191
30001595,QUEEN STREET,COLLINS STREET,LITTLE COLLINS STREET,20172
30001521,LITTLE BOURKE STREET,SPENCER STREET,KING STREET,20063
30001488,KING STREET,LITTLE LONSDALE STREET,LA TROBE STREET,20195
30001523,LITTLE BOURKE STREET,SPRING STREET,EXHIBITION STREET,20049
30001645,SPRING STREET,COLLINS STREET,LITTLE COLLINS STREET,20200
30001398,EXHIBITION STREET,BOURKE STREET,LITTLE COLLINS STREET,20141
30001475,KING STREET,COLLINS STREET,LITTLE COLLINS STREET,20190
30001482,KING STREET,LITTLE BOURKE STREET,BOURKE STREET,20192
30001551,LITTLE LONSDALE STREET,SWANSTON STREET,RUSSELL STREET,20038
30001638,RUSSELL STREET,BOURKE STREET,LITTLE COLLINS STREET,20149
30001612,QUEEN STREET,LONSDALE STREET,LITTLE BOURKE STREET,20175
30001542,LITTLE LONSDALE STREET,KING STREET,WILLIAM STREET,20046
30001552,LITTLE LONSDALE STREET,WILLIAM STREET,KING STREET,20046
30001528,LITTLE COLLINS STREET,QUEEN STREET,WILLIAM STREET,20101
30001557,LONSDALE STREET,SWANSTON STREET,RUSSELL STREET,20005
30001491,KING STREET,LITTLE LONSDALE STREET,LONSDALE STREET,20194
30001699,WILLIAM STREET,LA TROBE STREET,LITTLE LONSDALE STREET,20187
30001490,KING STREET,LONSDALE STREET,LITTLE LONSDALE STREET,20194
30001633,RUSSELL STREET,LITTLE BOURKE STREET,LONSDALE STREET,20151
30001510,EXHIBITION STREET,BOURKE STREET,LITTLE COLLINS STREET,20141
30001546,LITTLE LONSDALE STREET,QUEEN STREET,WILLIAM STREET,20044
30001780,RUSSELL STREET,LITTLE LONSDALE STREET,LA TROBE STREET,20153
30001412,EXHIBITION STREET,LITTLE LONSDALE STREET,LONSDALE STREET,20144
30001406,EXHIBITION STREET,LA TROBE STREET,LITTLE LONSDALE STREET,20145
30001702,WILLIAM STREET,LITTLE BOURKE STREET,BOURKE STREET,20184
30001622,KING STREET,LITTLE LONSDALE STREET,LONSDALE STREET,20194
30001392,ELIZABETH STREET,PELHAM STREET,QUEENSBERRY STREET,21115
30001548,LITTLE LONSDALE STREET,SPRING STREET,EXHIBITION STREET,20034
30001541,LITTLE LONSDALE STREET,EXHIBITION STREET,SPRING STREET,20034
30001606,QUEEN STREET,LITTLE BOURKE STREET,LONSDALE STREET,20175
30001486,KING STREET,LITTLE COLLINS STREET,BOURKE STREET,20191
30001549,LITTLE LONSDALE STREET,SPRING STREET,EXHIBITION STREET,20034
30001700,WILLIAM STREET,LITTLE BOURKE STREET,LONSDALE STREET,20185
30001701,WILLIAM STREET,LITTLE BOURKE STREET,LONSDALE STREET,20185
30001379,ELIZABETH STREET,BOURKE STREET,LITTLE BOURKE STREET,20166
30001397,EXHIBITION STREET,BOURKE STREET,LITTLE BOURKE STREET,20142
30001411,EXHIBITION STREET,LONSDALE STREET,LITTLE LONSDALE STREET,20144
30001649,SPRING STREET,LONSDALE STREET,LITTLE LONSDALE STREET,21848
30001693,WILLIAM STREET,COLLINS STREET,LITTLE COLLINS STREET,20182
30001605,QUEEN STREET,LITTLE BOURKE STREET,LONSDALE STREET,20175
30001399,EXHIBITION STREET,COLLINS STREET,LITTLE COLLINS STREET,20140
30001705,WILLIAM STREET,LONSDALE STREET,LITTLE LONSDALE STREET,20186
30001530,LITTLE COLLINS STREET,QUEEN STREET,WILLIAM STREET,20101
30001607,QUEEN STREET,LITTLE COLLINS STREET,BOURKE STREET,20173
30001396,EXHIBITION STREET,LITTLE BOURKE STREET,BOURKE STREET,20142
30001625,RUSSELL STREET,BOURKE STREET,LITTLE BOURKE STREET,20150
30001533,LITTLE COLLINS STREET,SPRING STREET,EXHIBITION STREET,20091
30001644,SPENCER STREET,LITTLE COLLINS STREET,BOURKE STREET,20073
30001704,WILLIAM STREET,LITTLE LONSDALE STREET,LA TROBE STREET,20187
30001647,SPRING STREET,LITTLE BOURKE STREET,LONSDALE STREET,20206
30001550,LITTLE LONSDALE STREET,SWANSTON STREET,RUSSELL STREET,20038
30001545,LITTLE LONSDALE STREET,QUEEN STREET,WILLIAM STREET,20044
30001527,LITTLE LONSDALE STREET,WILLIAM STREET,KING STREET,20046
30001649,SPRING STREET,LITTLE LONSDALE STREET,VICTORIA PARADE,21847
30001613,QUEEN STREET,LONSDALE STREET,LITTLE LONSDALE STREET,20176
30001611,QUEEN STREET,LONSDALE STREET,LITTLE LONSDALE STREET,20176
30001696,WILLIAM STREET,COLLINS STREET,LITTLE COLLINS STREET,20182
30001362,COLLINS STREET,KING STREET,WILLIAM STREET,20118
30001635,RUSSELL STREET,LA TROBE STREET,LITTLE LONSDALE STREET,20153
30001470,KING STREET,BOURKE STREET,LITTLE BOURKE STREET,20192
30001489,KING STREET,LA TROBE STREET,LITTLE LONSDALE STREET,20195
30001646,SPRING STREET,LITTLE BOURKE STREET,BOURKE STREET,20204
30001614,QUEEN STREET,LONSDALE STREET,LITTLE LONSDALE STREET,20176
30001471,KING STREET,LITTLE BOURKE STREET,BOURKE STREET,20192
30001703,WILLIAM STREET,LITTLE LONSDALE STREET,LA TROBE STREET,20187
30001409,EXHIBITION STREET,LITTLE BOURKE STREET,LONSDALE STREET,20143
30001630,RUSSELL STREET,BOURKE STREET,LITTLE COLLINS STREET,20149
30001517,LITTLE BOURKE STREET,KING STREET,SPENCER STREET,20063
30001642,SPENCER STREET,BOURKE STREET,LITTLE BOURKE STREET,20075
30001275,SPRING STREET,LITTLE LONSDALE STREET,LONSDALE STREET,21848
30001529,LITTLE COLLINS STREET,RUSSELL STREET,EXHIBITION STREET,20093
30001390,ELIZABETH STREET,LITTLE LONSDALE STREET,LA TROBE STREET,20169
30001535,LITTLE COLLINS STREET,WILLIAM STREET,KING STREET,20103
30001624,KING STREET,LITTLE LONSDALE STREET,LA TROBE STREET,20195
30001210,LITTLE DOCKLANDS DRIVE,FOOTSCRAY ROAD,WATERFRONT WAY,23226
30001487,KING STREET,LITTLE COLLINS STREET,COLLINS STREET,20190
30001628,RUSSELL STREET,COLLINS STREET,LITTLE COLLINS STREET,20148
30001608,QUEEN STREET,LITTLE COLLINS STREET,BOURKE STREET,20173
30001629,RUSSELL STREET,LITTLE COLLINS STREET,BOURKE STREET,20149
30001639,RUSSELL STREET,LONSDALE STREET,LITTLE LONSDALE STREET,20152
30001689,WILLIAM STREET,BOURKE STREET,LITTLE BOURKE STREET,20184
30001405,EXHIBITION STREET,LITTLE COLLINS STREET,COLLINS STREET,20140
30001538,LITTLE LONSDALE STREET,RUSSELL STREET,SWANSTON STREET,20038
30001691,WILLIAM STREET,COLLINS STREET,LITTLE COLLINS STREET,20182
30001477,KING STREET,COLLINS STREET,LITTLE COLLINS STREET,20190
30001519,LITTLE BOURKE STREET,QUEEN STREET,WILLIAM STREET,20059
30001472,KING STREET,LITTLE COLLINS STREET,BOURKE STREET,20191
30001615,QUEEN STREET,LITTLE LONSDALE STREET,LA TROBE STREET,20177
